iter	Passed	Remaining
0	1	130
1	2	117
2	3	113
3	4	105
4	5	105
5	6	103
6	7	101
7	8	100
8	9	98
9	10	97
10	11	97
11	13	96
12	14	94
13	15	93
14	16	91
15	17	90
16	18	89
17	19	87
18	20	86
19	21	87
20	23	86
21	24	86
22	25	86
23	26	84
24	27	83
25	28	82
26	30	81
27	31	80
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	71
35	39	70
36	40	69
37	41	68
38	42	67
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	58	49
54	58	48
55	59	47
56	61	46
57	62	45
58	63	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
